colname,gain,importance-type,loss
Round,0.6347580130050097,gain,0.10674940453351345
years,0.1997418014082105,gain,0.10674940453351345
Duration,0.19831848029092317,gain,0.10674940453351345
Age,0.16779454430172006,gain,0.10674940453351345
Share_Ratio,0.0659053582482759,gain,0.10674940453351345
Location,0.061488430783333325,gain,0.10674940453351345
Round_Equity_Total,0.04195280791774026,gain,0.10674940453351345
Industry_Sector,0.03630088768185999,gain,0.10674940453351345
Investor_Equity_Total,0.03608419735213265,gain,0.10674940453351345
