colname,gain,importance-type,precision
Round_Equity_Total,1.2729027867389826,gain,0.9928741092636579
Investor_Equity_Total,0.7019730102877783,gain,0.9928741092636579
years,0.6760206359831011,gain,0.9928741092636579
Duration,0.6158744035193959,gain,0.9928741092636579
Share_Ratio,0.5690362047508948,gain,0.9928741092636579
Round,0.5683976779766959,gain,0.9928741092636579
Industry_Sector,0.5629267911941801,gain,0.9928741092636579
Age,0.3922952977341499,gain,0.9928741092636579
Location,0.3884070264481481,gain,0.9928741092636579
