Round,Industry_Sector,Investor_Equity_Total,Round_Equity_Total,Num_Investors,Company_Status,Duration,Location,Age,years,Share_Ratio,Success,lSuccess,lNum_Investors
4,3.0,3000000,137483000,4,6.0,770,0.0,1,2016,0.02182087967239586,54516600,17.814015800412186,1.3862943611198906
4,0.0,13309000,950000000,4,6.0,0,1.0,0,2017,0.014009473684210526,73309000,18.110193942402873,1.3862943611198906
2,5.0,80000000,720000000,2,6.0,2934,1.0,37,2013,0.1111111111111111,80000000,18.197537192638155,0.6931471805599453
4,0.0,15000000,4000000000,4,6.0,2679,1.0,13,2014,0.00375,583599600,20.18472568921171,1.3862943611198906
4,0.0,2044000,6000000,11,6.0,1242,0.0,29,2013,0.3406666666666667,20920900,16.85625921726812,2.3978952727983707
5,0.0,2400000,58450000,6,6.0,272,0.0,0,2014,0.041060735671514116,152065800,18.8398238798755,1.791759469228055
2,0.0,20000000,160000000,2,6.0,2168,1.0,29,2013,0.125,59999700,17.909850120173875,0.6931471805599453
3,0.0,4900000,194922000,3,6.0,481,1.0,0,2017,0.02513826043237808,89978000,18.31507575396868,1.0986122886681098
2,0.0,33500000,800000000,2,6.0,2623,1.0,26,2014,0.041875,108500000,18.502260730944787,0.6931471805599453
5,0.0,7050000,24400000,12,6.0,689,1.0,46,2015,0.2889344262295082,17355000,16.669391207278025,2.4849066497880004
1,0.0,750000000,1000000000,2,6.0,14,1.0,26,2020,0.75,1750000500,21.28288191059608,0.6931471805599453
3,1.0,60000000,439098000,4,6.0,56,0.0,46,2018,0.13664375606356668,545901900,20.11794984723686,1.3862943611198906
2,4.0,9000000,10000000,2,6.0,2953,1.0,4,2013,0.9,29000000,17.182806387950748,0.6931471805599453
2,4.0,1100000000,6800000000,2,6.0,1365,1.0,39,2017,0.16176470588235295,1300000000,20.985630101413904,0.6931471805599453
1,0.0,12500000,50000000,1,6.0,1,1.0,34,2021,0.25,12500000,16.34123920227253,0.0
3,4.0,0,1025000000,4,6.0,1095,0.0,10,2013,0.0,313000000,19.561713748504427,1.3862943611198906
4,0.0,30000000,1690000000,5,1.0,436,0.0,35,2020,0.01775147928994083,1039000100,20.761524645309887,1.6094379124341003
4,0.0,48000000,1190000000,4,1.0,288,0.0,23,2020,0.040336134453781515,487999800,20.00582555398127,1.3862943611198906
3,0.0,35000000,1103000000,3,1.0,446,1.0,21,2020,0.03173164097914778,461999800,19.951075016145488,1.0986122886681098
4,0.0,2364000,1400000000,5,1.0,1339,0.0,5,2018,0.0016885714285714286,427787100,19.87413619988023,1.6094379124341003
2,2.0,50000000,1875000000,2,1.0,396,1.0,23,2017,0.02666666666666667,425000000,19.86759972688869,0.6931471805599453
4,0.0,22000000,1741916000,4,1.0,651,0.0,25,2019,0.012629770895955947,411084200,19.834308617658348,1.3862943611198906
1,0.0,400000000,7600000000,1,1.0,2,1.0,0,2022,0.05263157894736842,399999600,19.806974105071756,0.0
2,0.0,141600000,2250000000,4,1.0,683,1.0,18,2019,0.06293333333333333,1126199400,20.8421144380196,1.3862943611198906
