colname,gain,importance-type,precision
Round,1.717541604000372,gain,1.0000000260957542
years,0.7327244987725,gain,1.0000000260957542
Duration,0.677991651407783,gain,1.0000000260957542
Location,0.26563315363714285,gain,1.0000000260957542
Industry_Sector,0.24561047434749936,gain,1.0000000260957542
Age,0.17793767593822582,gain,1.0000000260957542
Round_Equity_Total,0.16739906608102897,gain,1.0000000260957542
Share_Ratio,0.15160811130692306,gain,1.0000000260957542
Investor_Equity_Total,0.1134700040165979,gain,1.0000000260957542
