Company_Status,Share_Ratio_avg,Invest_Amount_avg,Num_Investors_avg,Number
Acquisition,0.21411833436091363,3.251764666666667E8,4.066666666666666,15
Active,0.11072151550839529,3.821523737113402E8,3.443298969072165,194
Bankruptcy - Chapter 11,0.19047619047619047,1.3589998E9,6.0,1
Defunct,0.9346730313449277,3.8043E7,2.0,1
LBO,0.2,3000000.0,1.0,1
Pending Acquisition,0.24758641898527012,1.4401051666666666E8,4.666666666666667,6
Went Public,0.08844263694338138,1.6245144384615386E9,7.846153846153846,13
